FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;8.853;-6.57;-0.623;N/A;0;;0;;;9.476;20221219;192200;8.853;8.853;8.853;100;0;885.3;885.3;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;8.854;-6.11;-0.576;N/A;0;;0;;;9.43;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;GBP;USD;2.5;Physical;passive;Flow Traders B.V.;7.723;-6.1;-0.502;N/A;0;;0;;;8.225;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;9.532;-4.68;-0.468;N/A;5500;6.51;1000;17.94;93.4969;10;20221219;192200;9.532;9.532;9.532;5452;0;51968.46;48398.23;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ripple XRP ETP;AXRP;AXRP.S;AXRP SE;45466404;CH0454664043;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;9.317;-5.98;-0.593;vinter;0;;0;;;9.91;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ripple XRP ETP;AXRP;AXRP.S;AXRP SE;45466404;CH0454664043;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;10.082;-6.02;-0.646;vinter;825;7;60;16;78.2609;10.728;20221219;192200;10.208;10.208;10;13953;0;140476.01;130825.31;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares S&P Risk Controlled Bitcoin Index ETP;SPBTC;SPBTC.S;SPBTC SE;119403856;CH1194038563;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;16.268;-1.18;-0.194;N/A;0;;0;;;16.462;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares S&P Risk Controlled Ethereum Index ETP;SPETH;SPETH.S;SPETH SE;119403857;CH1194038571;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;17.73;-0.76;-0.136;N/A;0;;0;;;17.866;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Short Bitcoin ETP;SBTC;SBTC.S ;SBTC SE ;51406505;CH0514065058;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;1.7558;1.02;0.0178;N/A;500;1.6;1000;1.87;15.562;1.738;20221219;192200;1.7558;1.7558;1.7546;44100;0;77445.06;72124.58;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Short Ethereum ETP;SHETH;SHETH S ;SHETH SE ;121054888;CH1210548884;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;19.47;1.65;0.316;N/A ;0;;0;;;19.154;20221219;192200;19.52;19.52;19.47;26680;0;616820.42;574444.86;Exchange Traded Product;Crypto;Switzerland;Switzerland;N/A 
21Shares Solana Staking ETP;ASOL;ASOL.S;ASOL SE;111487377;CH1114873776;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;6.994;-6.41;-0.479;vinter;0;;0;;;7.473;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Solana Staking ETP;ASOL;ASOL.S;ASOL SE;111487377;CH1114873776;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;6.177;-6.28;-0.414;vinter;0;;0;;;6.591;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Solana Staking ETP;ASOL;ASOL.S;ASOL SE;111487377;CH1114873776;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;7.637;-4.54;-0.363;vinter;0;;100;11.8;;8;20221219;192200;7.604;7.604;7.6;1063;0;11687.36;10884.44;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Stellar ETP;AXLM;AXLM.S;AXLM SE;110957553;CH1109575535;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;3.771;-4.71;-0.1865;N/A;0;;500;10.3;;3.9575;20221219;192200;3.762;3.762;3.748;3972;0;14965.78;13937.63;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG
21Shares Terra ETP (LUNA);LUNA;LUNA.S ;LUNA.SE ;114593101;CH1145931015;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;0.0029;0;0;N/A;0;-Market;10000;0.05;;0.0029;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Terra ETP (LUNA);LUNA;LUNA.S ;LUNA.SE ;114593101;CH1145931015;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;0.017;0;0;N/A;0;;0;;;0.017;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Terra ETP (LUNA);LUNA;LUNA.S ;LUNA.SE ;114593101;CH1145931015;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;0.0051;6.25;0.0003;N/A;0;;1274;0.0045;;0.0048;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Tezos Staking ETP;AXTZ;AXTZ.S ;AXTZ SE ;49150748;CH0491507486;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;4.584;-7.63;-0.3785;Tezos ;0;;0;;;4.9625;20221219;192200;4.519;4.519;4.519;700;0;3169.8;2952.03;Exchange Traded Product;Crypto;Global;Switzerland;N/A
