FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Polkadot (ADOT) ETP;ADOT;ADOT.S;ADOT SE;59333156;CH0593331561;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;2.6685;-2.31;-0.063;Vinter;1000;2.6;105;2.75;5.6075;2.7315;20221216;;2.749;2.749;2.6435;53431;0;141779.86;131472.46;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;9.476;-3.88;-0.382;N/A;0;;0;;;9.858;20221216;;9.476;9.476;9.476;220;0;2084.72;2084.72;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;9.43;-5.43;-0.541;N/A;0;;0;;;9.971;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;GBP;USD;2.5;Physical;passive;Flow Traders B.V.;8.225;-5.35;-0.465;N/A;0;;0;;;8.69;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polygon (POLY) ETP;POLY;POLY.S;POLY SE;112953844;CH1129538448;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;10;-6.98;-0.75;N/A;5500;6.51;1000;17.94;93.4969;10.75;20221216;;10;10;10;10;0;100;92.73;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ripple XRP ETP;AXRP;AXRP.S;AXRP SE;45466404;CH0454664043;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;9.91;-5.17;-0.54;vinter;0;;0;;;10.45;20221216;;9.91;9.91;9.91;100;0;991;991;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ripple XRP ETP;AXRP;AXRP.S;AXRP SE;45466404;CH0454664043;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;10.728;-3.8;-0.424;vinter;825;7;60;16;78.2609;11.152;20221216;;11.154;11.154;10.718;1661;0;41350.47;38344.29;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares S&P Risk Controlled Bitcoin Index ETP;SPBTC;SPBTC.S;SPBTC SE;119403856;CH1194038563;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;16.462;-2.36;-0.398;N/A;0;;0;;;16.86;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares S&P Risk Controlled Ethereum Index ETP;SPETH;SPETH.S;SPETH SE;119403857;CH1194038571;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;17.866;-2.64;-0.484;N/A;0;;0;;;18.35;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Short Bitcoin ETP;SBTC;SBTC.S ;SBTC SE ;51406505;CH0514065058;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;1.738;3.01;0.0508;N/A;500;1.6;1000;1.87;15.562;1.6872;20221216;;1.6912;1.6912;1.6912;405502;0;738674.7;684973.05;Exchange Traded Product;Crypto;Global;Switzerland;N/A
